これ本は、英語です。,この本は、英語です。
卒業式に泣けかもしれない。,卒業式に泣くかもしれない。
この漫画は、よい売れています。,この漫画は、よく売れています。
ピアノの練習をしたいない。,ピアノの練習をしたくない。
魔人は、小さいになった。,魔人は、小さくなった。
小人は、大きいになった。,小人は、大きくなった。
高価レストランの食べ物は美味しい。,高価なレストランの食べ物は美味しい。
あの上品人は、私の祖母だ。,あの上品な人は、私の祖母だ。
壊れた机は、元に戻るない。,壊れた机は、元に戻せない。
私の着物を着ってください。,私の着物を着てください。
ここに来ってください。,ここに来てください。
豆腐を切てください。,豆腐を切ってください。
大人の言うことを聞って。,大人の言うことを聞いて。
プールで泳ぎで。,プールで泳いで。
急がないと、遅れらるよ。,急がないと、遅れるよ。
黒板をよく見って。,黒板をよく見て。
弟と遊びて。,弟と遊んで。
祖母は、韓国に帰りて行った。,祖母は、韓国に帰って行った。
父は短気で、待つしない。,父は短気で、待ったりしない。
夏に、泳ぎたりジョギングしたりした。,夏に、泳いだりジョギングしたりした。
祖父は、いつも健康的なです。,祖父は、いつも健康的です。
一般的なに言って、地球は温暖化です。,一般的に言って、地球は温暖化です。
学校自慢は、物を大切していることです。,学校自慢は、物を大切にしていることです。
私の趣味は、本を読みことです。,私の趣味は、本を読むことです。
毎週月曜日は、塾がいます。,毎週月曜日は、塾があります。
毎週土曜日にスタバでバイトしました。,毎週土曜日にスタバでバイトしています。
明日学校の後、ヨガのクラスに行きました。,明日学校の後、ヨガのクラスに行きます。
月曜日まで金曜日から、野球の試合があります。,月曜日から金曜日まで、野球の試合があります。
あのは、私の宝物です。,あれは、私の宝物です。
そのは、あなたのパソコンですか？,それは、あなたのパソコンですか？
このは、下町です。,ここは、下町です。
あこは、校長先生の部屋です。,あそこは、校長先生の部屋です。
そのは、事務室です。,そこは、事務室です。
明日、映画を見るに行きませんか？,明日、映画を見に行きませんか？
今週末、デートましょう。,今週末、デートしましょう。
朝から晩まで、働きています。,朝から晩まで、働いています。
白い帽子をかぶりています。,白い帽子をかぶっています。
黄色いドレスを着っています。,黄色いドレスを着ています。
黒いブーツを履きています。,黒いブーツを履いています。
短いスカートを履っています。,短いスカートを履いています。
茶色のサングラスをかけっています。,茶色のサングラスをかけています。
水玉のネクタイをしっています。,水玉のネクタイをしています。
金のネックレスをすています。,金のネックレスをしています。
Nikeのスニーカーを履くています。,Nikeのスニーカーを履いています。
大きいのバッグを持っています。,大きいバッグを持っています。
彼女のファッションは、地味なすぎます。,彼女のファッションは、地味すぎます。
帽子が大きいすぎます。,帽子が大きすぎます。
靴が小さなすぎます。,靴が小さすぎます。
彼のファッションは、アデナすぎます。,彼のファッションは、派手すぎます。
今朝は、寝るすぎました。,今朝は、寝すぎました。
食べるすぎて、お腹が苦しいです。,食べ過ぎて、お腹が苦しいです。
外に、犬が３匹あります。,外に、犬が３匹います。
駐車場に車が５個あります。,駐車場に車が５台あります。
可愛い女の子が二ついます。,可愛い女の子が二人います。
筆箱の中ん、鉛筆が４本います。,筆箱の中に、鉛筆が４本あります。
棚に教科書が１０本あります。,棚に教科書が１０冊あります。
動物園で、象を５羽見ました。,動物園で、象を５頭見ました。
鳥が３匹空を飛んでいます。,鳥が３羽空を飛んでいます。
もう１台コーヒーをください。,もう１杯コーヒーをください。
テストの用紙が３個足りません。,テストの用紙が３枚足りません。
今度の数学の先生は、厳しみたいです。,今度の数学の先生は、厳しいみたいです。
まだ、ランチを食べましたか？,もう、ランチを食べましたか？
いいえ、もう食べていません。,いいえ、まだ食べていません。
母は、テニスが好きなで、上手です。,母は、テニスが好きで、上手です。
このシャツは、２枚して３００円です。,このシャツは２枚で３００円です。
日本語は面白いで楽しいです。,日本語は、面白くて楽しいです。
朝ごはんを食べって、新聞を読みます。,朝ごはんを食べて、新聞を読みます。
母は、花に水を差し上げます。,母は、花に水をやります。
妹は、犬に餌をもらいます。,妹は、犬に餌をあげます。
祖父は、古いです。,祖父は、年を取っています。
兄は、太いです。,兄は、太っています。
公園に歩きていきます。,公園に歩いていきます。
うちに走りて帰ります。,うちに走って帰ります。
風の薬を飲みて寝ます。,風邪の薬を飲んで寝ます。
今朝は、温度が寒いです。,今朝は、温度が低いです。
赤帽子を買いました。,赤い帽子を買いました。
姉は、背が大きいです。,姉は、背が高いです。
母は、背が小さいです。,母は、背が低いです。
マイケルは、頭が良いで、背が高いです。,マイケルは、頭が良くて、背が高いです。
スポーツは苦手くて上手じゃありません。,スポーツは、苦手で上手じゃありません。
早い大学生になりたいです。,早く大学生になりたいです。
私はみんな、高校生です。,私たちはみんな、高校生です。
晩御飯に何も食べました。,晩御飯に何も食べませんでした。
朝ごはんに何も飲みました。,朝ごはんに、何も飲みませんでした。
夏休みにどこへも行きました。,夏休みにどこへも行きませんでした。
夕方６時ごろ伺うます。,夕方６時ごろ伺います。
この魚は、１ポンドごろありそうです。,この魚は、１ポンドぐらいありそうです。
夏は、９時ごろぐらい暗くなります。,夏は、９時ごろ暗くなります。
先月、アフリカに旅行します。,先月、アフリカに旅行しました。
母の日は、毎年５月の第２日曜日でした。,母の日は、毎年５月の第２日曜日です。
ニューヨークまで、車で何時間ごろですか？,ニューヨークまで、車で何時間ぐらいですか？
熱がいます。,熱があります。
風邪をひきています。,風邪をひいています。
父は４０歳ですでも、母は３５歳です。,父は４０歳で、母は３５歳です。
全然寿司を食べます。,全然寿司を食べません。
あまりソーダを飲みます。,あまりソーダを飲みません。
もう直ぐ、仕事に行きました。,もう直ぐ、仕事に行きます。
これから、いい子になりました。,これから、いい子なります。
それは、残念かったね。,それは、残念でしたね。
また、お会いするのを楽しみます。,また、お会いするのを楽しみにしています。
暑いので、元気区ありません。,暑いので、元気じゃありません。
ラザニアは、とても美味しいでした。,ラザニアは、とても美味しかった。
何生ですか？,何年生ですか？
いくつ歳ですか？,何歳ですか？
何音楽が好きですか？,どんな音楽が好きですか？
なんどしですか？,なにどしですか？
ご家族はなんですか？,ご家族は何人ですか？
教会に行きて、友達に会います。,教会に行って、友達に会います。
友達と遊びたり、映画を見たりしました。,友達と遊んだり、映画を見たりしました。
昨日はとても楽しいでした。,昨日はとても楽しかったです。
私のうちは、大きいで新しいです。,私のうちは、大きくて新しいです。
近いにコンビニがあります。,近くにコンビニがあります。
窓から、遠いに山が見えます。,窓から、遠くに山が見えます。
一昨日は、暇くてつまらなかった。,一昨日は、暇でつまらなかった。
昨日は、忙しいで大変だった。,昨日は、忙しくて大変だった。
昨日は暑いでしたけど、楽しかった。,昨日は暑かったけど、楽しかった。
化学の先生は厳しいけど、いい先生だです。,化学の先生は厳しいけど、いい先生だ。
芝生に入らな。,芝生に入るな。
危険だから、近づきな。,危険だから、近づくな。
ここで、止めれ。,ここで、止まれ。
運転中は、前をよく見れ。,運転中は、前をよく見ろ。
タバコを吸いな。,タバコを吸うな。
先生がもう直ぐいらしてる。,先生がもう直ぐいらっしゃる。
猫の下に椅子がいます。,椅子の下に猫がいます。
ピアノの中に部屋があります。,部屋の中にピアノがあります。
犬の外にうちがいます。,うちの外に犬がいます。
女優の上に、舞台がいます。,舞台の上に、女優がいます。
