正しい文,誤用文,品詞情報,選択肢,新しいトーケン,変化されたトーケン,保存されたトーケン
作った,作っかった,"動詞,自立,五段・ラ行,連用タ接続,作る,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,0,0",[1],[],"[[0, 0], [2, 1]]"
分かった,分かた,"動詞,自立,五段・ラ行,連用タ接続,分かる,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,0,0",[],"[[0, 0]]","[[1, 1]]"
読んだ,読みた,"動詞,自立,五段・マ行,連用タ接続,読む,助動詞,*,特殊・タ,基本形,だ","1,0,0,1,0,1,-1,1,1,1",[1],"[[0, 0]]",[]
話した,話しだ,"動詞,自立,五段・サ行,連用形,話す,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,1,1",[1],[],"[[0, 0]]"
行った,行っだ,"動詞,自立,五段・カ行促音便,連用タ接続,行く,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,1,1",[1],[],"[[0, 0]]"
知っていた,知っていった,"動詞,自立,五段・ラ行,連用タ接続,知る,助詞,接続助詞,*,*,て,動詞,非自立,一段,連用形,いる,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,0,1",[2],[],"[[0, 0], [1, 1], [3, 3]]"

#,"動詞（verb, ます-form)"
作りまし,作るまし,"動詞,自立,五段・ラ行,連用形,作る,助動詞,*,特殊・マス,連用形,ます","1,0,0,1,0,1,-1,1,0,1",[],"[[0, 0]]","[[1, 1]]"
分かりまし,分かまし,"動詞,自立,五段・ラ行,連用形,分かる,助動詞,*,特殊・マス,連用形,ます","1,0,0,1,0,1,-1,1,0,1",[],"[[0, 0]]","[[1, 1]]"
作ります,作りいます,"動詞,自立,五段・ラ行,連用形,作る,助動詞,*,特殊・マス,基本形,ます","1,0,0,1,0,1,-1,1,0,0",[1],[],"[[0, 0], [2, 1]]"
ません,ますん,"助動詞,*,特殊・マス,未然形,ます,助動詞,*,不変化型,基本形,ん","1,-1,1,1,1,1,-1,1,1,1",[],"[[0, 0]]","[[1, 1]]"

#,"動詞（verb, volitional form)"
始めよう,始めるよう,"動詞,自立,一段,未然ウ接続,始める,助動詞,*,不変化型,基本形,う","1,0,0,1,0,1,-1,1,1,1",[1],"[[0, 0]]",[]
作ろう,作ろ,"動詞,自立,五段・ラ行,未然ウ接続,作る,助動詞,*,不変化型,基本形,う","1,0,0,1,0,1,-1,1,1,1",[],[],"[[0, 0]]"

#,"動詞（verb, ない-form)"
作らなかっ,作らなっ,"動詞,自立,五段・ラ行,未然形,作る,助動詞,*,特殊・ナイ,連用タ接続,ない","1,0,0,1,0,1,-1,1,1,1",[1],[],"[[0, 0]]"
分からない,分かりない,"動詞,自立,五段・ラ行,未然形,分かる,助動詞,*,特殊・ナイ,基本形,ない","1,0,0,1,0,1,-1,1,0,0",[],"[[0, 0]]","[[1, 1]]"
聴かない,聴くない,"動詞,自立,五段・カ行イ音便,未然形,聴く,助動詞,*,特殊・ナイ,基本形,ない","1,0,0,1,0,1,-1,1,0,1",[],"[[0, 0]]","[[1, 1]]"
食べないで,食べなくて,"動詞,自立,一段,未然形,食べる,助動詞,*,特殊・ナイ,連用デ接続,ない,助詞,接続助詞,*,*,で","1,0,0,1,0,1,-1,1,1,1,1,1,-1,-1,1","[1, 2]",[],"[[0, 0]]"

#,"動詞（verb, passive form)"
感じられない,感じらない,"動詞,自立,一段,未然形,感じる,動詞,接尾,一段,未然形,られる,助動詞,*,特殊・ナイ,基本形,ない","1,0,0,1,0,1,1,1,1,1,1,-1,1,0,1",[1],[],"[[0, 0], [2, 2]]"

#,"動詞（verb, たい-form)"
働きたい,働たい,"動詞,自立,五段・カ行イ音便,連用形,働く,助動詞,*,特殊・タイ,基本形,たい","1,1,0,1,0,1,-1,1,0,1",[],"[[0, 0]]","[[1, 1]]"
動きたい,動きますたい,"動詞,自立,五段・カ行イ音便,連用形,動く,助動詞,*,特殊・タイ,基本形,たい","1,0,0,1,0,1,-1,1,0,1",[1],[],"[[0, 0], [2, 1]]"
作りたい,作ったい,"動詞,自立,五段・ラ行,連用形,作る,助動詞,*,特殊・タイ,基本形,たい","1,0,0,1,0,1,-1,1,0,0",[],"[[0, 0]]","[[1, 1]]"
作りたい,作るたい,"動詞,自立,五段・ラ行,連用形,作る,助動詞,*,特殊・タイ,基本形,たい","1,0,0,1,0,1,-1,1,0,0",[],"[[0, 0]]","[[1, 1]]"

#,"動詞（verb, base form)"
話すのが,話すが,"動詞,自立,五段・サ行,基本形,話す,名詞,非自立,*,*,の,助詞,格助詞,*,*,が","1,0,0,1,0,1,1,-1,-1,1,1,1,-1,-1,1",[],[],"[[0, 0], [1, 2]]"
話すのは,話すは,"動詞,自立,五段・サ行,基本形,話す,名詞,非自立,*,*,の,助詞,係助詞,*,*,は","1,0,0,1,0,1,1,-1,-1,1,1,1,-1,-1,1",[],[],"[[0, 0], [1, 2]]"

#,"動詞（verb, connecting forms)"
飲み,飲みる,"動詞,自立,五段・マ行,連用形,飲む","1,0,0,1,0",[1],[],"[[0, 0]]"
信じたい,信じりたい,"動詞,自立,一段,連用形,信じる,助動詞,*,特殊・タイ,基本形,たい","1,0,1,1,0,1,-1,0,0,0",[1],[],"[[0, 0], [2, 1]]"
食べに行く,食べる行く,"動詞,自立,一段,連用形,食べる,助詞,格助詞,*,*,に,動詞,自立,五段・カ行促音便,基本形,行く","1,0,0,1,0,1,1,-1,-1,1,1,1,0,0,0",[],"[[0, 0]]","[[1, 2]]"
食べに行く,食べるに行く,"動詞,自立,一段,連用形,食べる,助詞,格助詞,*,*,に,動詞,自立,五段・カ行促音便,基本形,行く","1,0,0,1,0,1,1,-1,-1,1,1,0,0,0,0",[],"[[0, 0]]","[[1, 1], [2, 2]]"
やり過ぎ,やる過ぎ,"動詞,自立,五段・ラ行,連用形,やる,動詞,非自立,一段,連用形,過ぎる","1,0,0,1,0,1,1,0,0,0",[],"[[0, 0]]","[[1, 1]]"
やり過ぎ,やって過ぎ,"動詞,自立,五段・ラ行,連用形,やる,動詞,非自立,一段,連用形,過ぎる","1,0,0,1,0,1,1,0,0,0",[1],"[[0, 0]]","[[2, 1]]"
行っても,行きますも,"動詞,自立,五段・カ行促音便,連用タ接続,行く,助詞,接続助詞,*,*,て,助詞,係助詞,*,*,も","1,0,0,1,0,1,1,-1,-1,1,1,1,-1,-1,1",[1],"[[0, 0]]","[[2, 2]]"
忘れてしまう,忘れるしまう,"動詞,自立,一段,連用形,忘れる,助詞,接続助詞,*,*,て,動詞,非自立,五段・ワ行促音便,基本形,しまう","1,0,0,1,0,1,1,-1,-1,1,1,1,0,0,0",[],"[[0, 0]]","[[1, 2]]"
聞いてみる,聞くみる,"動詞,自立,五段・カ行イ音便,連用タ接続,聞く,助詞,接続助詞,*,*,て,動詞,非自立,一段,基本形,みる","1,0,0,1,0,1,1,-1,-1,1,1,1,0,0,0",[],"[[0, 0]]","[[1, 2]]"

#,"動詞（verb, semantic errors)"
知っています,知ります,"動詞,自立,五段・ラ行,連用タ接続,知る,助詞,接続助詞,*,*,て,動詞,非自立,一段,連用形,いる,助動詞,*,特殊・マス,基本形,ます","1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,1,1",[],"[[0, 0]]","[[1, 3]]"
車を持っていまし,車を持ちまし,"名詞,一般,*,*,車,助詞,格助詞,*,*,を,動詞,自立,五段・タ行,連用タ接続,持つ,助詞,接続助詞,*,*,て,動詞,非自立,一段,連用形,いる,助動詞,*,特殊・マス,連用形,ます","1,0,-1,-1,0,1,1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,0,1",[],"[[2, 2]]","[[0, 0], [1, 1], [3, 5]]"
ケーキが食べたい,ケーキで食べたい,"名詞,一般,*,*,ケーキ,助詞,格助詞,*,*,が,動詞,自立,一段,連用形,食べる,助動詞,*,特殊・タイ,基本形,たい","1,0,-1,-1,0,1,1,-1,-1,1,1,0,0,1,0,1,-1,1,0,1",[1],[],"[[0, 0], [2, 2], [3, 3]]"
ケーキを食べたい,ケーキで食べたい,"名詞,一般,*,*,ケーキ,助詞,格助詞,*,*,を,動詞,自立,一段,連用形,食べる,助動詞,*,特殊・タイ,基本形,たい","1,0,-1,-1,0,1,1,-1,-1,1,1,0,0,1,0,1,-1,1,0,1",[1],[],"[[0, 0], [2, 2], [3, 3]]"

#,"助詞 (particle, semantic errors)"
図書館に行く,図書館で行く,"名詞,一般,*,*,図書館,助詞,格助詞,*,*,に,動詞,自立,五段・カ行促音便,基本形,行く","1,0,-1,-1,0,1,1,-1,-1,1,1,0,1,0,1",[1],[],"[[0, 0], [2, 2]]"
図書館に帰る,図書館で帰る,"名詞,一般,*,*,図書館,助詞,格助詞,*,*,に,動詞,自立,五段・ラ行,基本形,帰る","1,1,-1,-1,0,1,1,-1,-1,1,1,1,1,0,1",[1],[],"[[0, 0], [2, 2]]"
水でも,水をも,"名詞,一般,*,*,水,助詞,格助詞,*,*,で,助詞,係助詞,*,*,も","1,0,-1,-1,0,1,1,-1,-1,1,1,1,-1,-1,1",[1],[],"[[0, 0], [2, 2]]"
水も,水をも,"名詞,一般,*,*,水,助詞,係助詞,*,*,も","1,0,-1,-1,0,1,1,-1,-1,1",[1],[],"[[0, 0], [2, 1]]"
人も人も,人と人も,"名詞,一般,*,*,人,助詞,係助詞,*,*,も,名詞,一般,*,*,人,助詞,係助詞,*,*,も","1,0,-1,-1,0,1,1,-1,-1,1,1,0,-1,-1,0,1,1,-1,-1,1",[1],[],"[[0, 0], [2, 2], [3, 3]]"
人と人は,人と人も,"名詞,一般,*,*,人,助詞,並立助詞,*,*,と,名詞,一般,*,*,人,助詞,係助詞,*,*,は","1,0,-1,-1,0,1,1,-1,-1,1,1,0,-1,-1,0,1,1,-1,-1,1",[3],[],"[[0, 0], [1, 1], [2, 2]]"

#,"形容詞 (い-adjective、conjugation error)"
難しいです,難しです,"形容詞,自立,形容詞・イ段,基本形,難しい,助動詞,*,特殊・デス,基本形,です","1,0,0,1,0,1,-1,1,0,1",[],"[[0, 0]]","[[1, 1]]"
小さくない,小さいない,"形容詞,自立,形容詞・アウオ段,連用テ接続,小さい,助動詞,*,特殊・ナイ,基本形,ない","1,0,0,1,0,1,-1,1,0,1",[],"[[0, 0]]","[[1, 1]]"
甘かっ,甘いかっ,"形容詞,自立,形容詞・アウオ段,連用タ接続,甘い","1,0,0,1,0",[1],"[[0, 0]]",[]
甘かっ,甘くかっ,"形容詞,自立,形容詞・アウオ段,連用タ接続,甘い","1,0,0,1,0",[1],"[[0, 0]]",[]
赤くない,赤いじゃない,"形容詞,自立,形容詞・アウオ段,連用テ接続,赤い,助動詞,*,特殊・ナイ,基本形,ない","1,0,0,1,0,1,-1,1,1,1",[1],"[[0, 0]]","[[2, 1]]"
楽しくあります,楽しいではあります,"形容詞,自立,形容詞・イ段,連用テ接続,楽しい,動詞,自立,五段・ラ行,連用形,ある,助動詞,*,特殊・マス,基本形,ます","1,0,0,1,0,1,1,1,1,1,1,-1,1,0,1","[1, 2]","[[0, 0]]","[[3, 1], [4, 2]]"
行かなかった,行かないかった,"動詞,自立,五段・カ行促音便,未然形,行く,助動詞,*,特殊・ナイ,連用タ接続,ない,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,1,1,1,-1,1,1,1",[2],"[[1, 1]]","[[0, 0], [3, 2]]"

#,"形容詞 (い-adjective、connecting forms)"
甘くてうまい,甘いうまい,"形容詞,自立,形容詞・アウオ段,連用テ接続,甘い,助詞,接続助詞,*,*,て,形容詞,自立,形容詞・アウオ段,基本形,うまい","1,0,0,1,0,1,1,-1,-1,1,1,0,0,0,0",[],"[[0, 0]]","[[1, 2]]"
甘く思う,甘い思う,"形容詞,自立,形容詞・アウオ段,連用テ接続,甘い,動詞,自立,五段・ワ行促音便,基本形,思う","1,0,0,1,0,1,1,0,0,0",[],"[[0, 0]]","[[1, 1]]"
甘くて,甘いくて,"形容詞,自立,形容詞・アウオ段,連用テ接続,甘い,助詞,接続助詞,*,*,て","1,0,0,1,0,1,1,-1,-1,1",[1],"[[0, 0]]","[[2, 1]]"
難しくて,難しいて,"形容詞,自立,形容詞・イ段,連用テ接続,難しい,助詞,接続助詞,*,*,て","1,0,0,1,0,1,1,-1,-1,1",[],"[[0, 0]]","[[1, 1]]"
小さく響く,小さ響く,"形容詞,自立,形容詞・アウオ段,連用テ接続,小さい,動詞,自立,五段・カ行イ音便,基本形,響く","1,0,0,1,0,1,0,0,0,0",[],"[[0, 0]]","[[1, 1]]"
難しすぎる,難しいすぎる,"形容詞,自立,形容詞・イ段,ガル接続,難しい,動詞,非自立,一段,基本形,すぎる","1,0,0,1,0,1,1,1,0,1",[],"[[0, 0]]","[[1, 1]]"
青くて青い,青いで青い,"形容詞,自立,形容詞・アウオ段,連用テ接続,青い,助詞,接続助詞,*,*,て,形容詞,自立,形容詞・アウオ段,基本形,青い","1,0,0,1,0,1,1,-1,-1,1,1,0,0,0,0",[1],"[[0, 0]]","[[2, 2]]"
難しいので,難しくので,"形容詞,自立,形容詞・イ段,基本形,難しい,助詞,接続助詞,*,*,ので","1,0,0,1,0,1,1,-1,-1,1",[],"[[0, 0]]","[[1, 1]]"
難しくても,難しくでも,"形容詞,自立,形容詞・イ段,連用テ接続,難しい,助詞,接続助詞,*,*,て,助詞,係助詞,*,*,も","1,0,0,1,0,1,1,-1,-1,1,1,1,-1,-1,1",[1],[],"[[0, 0]]"
難しくても,難しいでも,"形容詞,自立,形容詞・イ段,連用テ接続,難しい,助詞,接続助詞,*,*,て,助詞,係助詞,*,*,も","1,0,0,1,0,1,1,-1,-1,1,1,1,-1,-1,1",[1],"[[0, 0]]",[]
優しくて、,優しいで、,"形容詞,自立,形容詞・イ段,連用テ接続,優しい,助詞,接続助詞,*,*,て,記号,読点,*,*,、","1,0,0,1,0,1,1,-1,-1,1,1,1,-1,-1,1",[1],"[[0, 0]]","[[2, 2]]"

#,"形容詞 (い-adjective、particle error)"
楽しいと思う,楽しいだと思う,"形容詞,自立,形容詞・イ段,基本形,楽しい,助詞,格助詞,*,*,と,動詞,自立,五段・ワ行促音便,基本形,思う","1,0,0,1,0,1,1,-1,-1,1,1,1,0,0,0",[1],[],"[[0, 0], [2, 1], [3, 2]]"
楽しいと思う,楽しい思う,"形容詞,自立,形容詞・イ段,基本形,楽しい,助詞,格助詞,*,*,と,動詞,自立,五段・ワ行促音便,基本形,思う","1,0,0,1,0,1,1,-1,-1,1,1,1,0,0,0",[],[],"[[0, 0], [1, 2]]"
甘いケーキ,甘いのケーキ,"形容詞,自立,形容詞・アウオ段,基本形,甘い,名詞,一般,*,*,ケーキ","1,0,0,1,0,1,0,-1,-1,0",[1],[],"[[0, 0], [2, 1]]"
甘いケーキ,甘いなケーキ,"形容詞,自立,形容詞・アウオ段,基本形,甘い,名詞,一般,*,*,ケーキ","1,0,0,1,0,1,0,-1,-1,0",[1],[],"[[0, 0], [2, 1]]"
面白く,面白いに,"形容詞,自立,形容詞・アウオ段,連用テ接続,面白い","1,0,0,1,0",[1],"[[0, 0]]",[]
難しくて,難しいと,"形容詞,自立,形容詞・イ段,連用テ接続,難しい,助詞,接続助詞,*,*,て","1,0,0,1,0,1,1,-1,-1,1",[1],"[[0, 0]]",[]
甘いのは大事,甘いは大事,"形容詞,自立,形容詞・アウオ段,基本形,甘い,名詞,非自立,*,*,の,助詞,係助詞,*,*,は,名詞,形容動詞語幹,*,*,大事","1,0,0,1,0,1,1,-1,-1,1,1,1,-1,-1,1,1,0,-1,-1,0",[],[],"[[0, 0], [1, 2], [2, 3]]"

#,"形容動詞語幹 (な-adjective)"
真剣で,真剣くて,"名詞,形容動詞語幹,*,*,真剣,助動詞,*,特殊・ダ,連用形,だ","1,1,-1,-1,0,1,-1,1,1,1","[1, 2]",[],"[[0, 0]]"
簡単だから,簡単なから,"名詞,形容動詞語幹,*,*,簡単,助動詞,*,特殊・ダ,基本形,だ,助詞,接続助詞,*,*,から","1,0,-1,-1,0,1,-1,1,1,1,1,1,-1,-1,1",[],"[[1, 1]]","[[0, 0], [2, 2]]"
静かだから,静かから,"名詞,形容動詞語幹,*,*,静か,助動詞,*,特殊・ダ,基本形,だ,助詞,接続助詞,*,*,から","1,1,-1,-1,0,1,-1,1,1,1,1,1,-1,-1,1",[],[],"[[0, 0], [1, 2]]"
静かですから,静かから,"名詞,形容動詞語幹,*,*,静か,助動詞,*,特殊・デス,基本形,です,助詞,接続助詞,*,*,から","1,1,-1,-1,0,1,-1,1,1,1,1,1,-1,-1,1",[],[],"[[0, 0], [1, 2]]"
綺麗だ,綺麗なだ,"名詞,形容動詞語幹,*,*,綺麗,助動詞,*,特殊・ダ,基本形,だ","1,0,-1,-1,0,1,-1,1,0,1",[1],[],"[[0, 0], [2, 1]]"
綺麗です,綺麗なです,"名詞,形容動詞語幹,*,*,綺麗,助動詞,*,特殊・デス,基本形,です","1,0,-1,-1,0,1,-1,1,0,1",[1],[],"[[0, 0], [2, 1]]"
簡単じゃなく,簡単くなく,"名詞,形容動詞語幹,*,*,簡単,助詞,副助詞,*,*,じゃ,助動詞,*,特殊・ナイ,連用テ接続,ない","1,1,-1,-1,0,1,1,-1,-1,1,1,-1,1,0,1",[1],[],"[[0, 0], [2, 2]]"
病気になる,病気くなる,"名詞,サ変接続,*,*,病気,助詞,格助詞,*,*,に,動詞,自立,五段・ラ行,基本形,なる","1,0,-1,-1,0,1,1,-1,-1,1,1,1,1,0,1","[1]",[],"[[0, 0], [2, 2]]"
好きではあります,好きます,"名詞,形容動詞語幹,*,*,好き,助動詞,*,特殊・ダ,連用形,だ,助詞,係助詞,*,*,は,動詞,自立,五段・ラ行,連用形,ある,助動詞,*,特殊・マス,基本形,ます","1,0,-1,-1,0,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,-1,1,0,1",[],[],"[[0, 0], [1, 4]]"
好きじゃない,好きません,"名詞,形容動詞語幹,*,*,好き,助詞,副助詞,*,*,じゃ,助動詞,*,特殊・ナイ,基本形,ない","1,1,-1,-1,0,1,1,-1,-1,1,1,-1,1,1,1","[1, 2]",[],"[[0, 0]]"
好きな音楽,好き音楽,"名詞,形容動詞語幹,*,*,好き,助動詞,*,特殊・ダ,体言接続,だ,名詞,一般,*,*,音楽","1,1,-1,-1,0,1,-1,1,1,1,1,0,-1,-1,0",[],[],"[[0, 0], [1, 2]]"
便利なので,便利なだから,"名詞,形容動詞語幹,*,*,便利,助動詞,*,特殊・ダ,体言接続,だ,助詞,接続助詞,*,*,ので","1,0,-1,-1,0,1,-1,1,1,1,1,1,-1,-1,1",[2],[],"[[0, 0], [1, 1]]"
便利だから,便利なだから,"名詞,形容動詞語幹,*,*,便利,助動詞,*,特殊・ダ,基本形,だ,助詞,接続助詞,*,*,から","1,0,-1,-1,0,1,-1,1,1,1,1,1,-1,-1,1","[1, 2]",[],"[[0, 0]]"


#,"名詞 (noun)"
学生なので,学生ので,"名詞,一般,*,*,学生,助動詞,*,特殊・ダ,体言接続,だ,助詞,接続助詞,*,*,ので","1,0,-1,-1,0,1,-1,1,1,1,1,1,-1,-1,1",[],[],"[[0, 0], [1, 2]]"
一緒だと、,一緒と、,"名詞,サ変接続,*,*,一緒,助動詞,*,特殊・ダ,基本形,だ,助詞,接続助詞,*,*,と,記号,読点,*,*,、","1,0,-1,-1,0,1,-1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,1",[],[],"[[0, 0], [1, 2], [2, 3]]"

#,"代名詞 (pronoun)"
あれは,あのは,"名詞,代名詞,*,*,あれ,助詞,係助詞,*,*,は","1,1,-1,-1,1,1,1,-1,-1,0",[0],[],"[[1, 1]]"
あの人,あれ人,"連体詞,*,*,*,あの,名詞,一般,*,*,人","1,-1,-1,-1,1,1,0,-1,-1,0",[0],[],"[[1, 1]]"
それは,そのは,"名詞,代名詞,*,*,それ,助詞,係助詞,*,*,は","1,1,-1,-1,1,1,1,-1,-1,0",[0],[],"[[1, 1]]"
その人,それ人,"連体詞,*,*,*,その,名詞,一般,*,*,人","1,-1,-1,-1,1,1,0,-1,-1,0",[0],[],"[[1, 1]]"
これも,このも,"名詞,代名詞,*,*,これ,助詞,係助詞,*,*,は","1,1,-1,-1,1,1,1,-1,-1,0",[0],[],"[[1, 1]]"
この人,これ人,"連体詞,*,*,*,この,名詞,一般,*,*,人","1,-1,-1,-1,1,1,0,-1,-1,0",[0],[],"[[1, 1]]"
どれが一番,どっちが一番,"名詞,代名詞,*,*,どれ,助詞,格助詞,*,*,が,名詞,副詞可能,*,*,一番","1,1,-1,-1,1,1,1,-1,-1,0,1,1,-1,-1,1",[0],[],"[[1, 1], [2, 2]]"
学校はどこ,学校にどこ,"名詞,一般,*,*,学校,助詞,係助詞,*,*,は,名詞,代名詞,*,*,どこ","1,0,-1,-1,0,1,1,-1,-1,1,1,1,-1,-1,1",[1],[],"[[0, 0], [2, 2]]"
どこにある,どこがある,"名詞,代名詞,*,*,どこ,助詞,格助詞,*,*,に,動詞,自立,五段・ラ行,基本形,ある","1,1,-1,-1,1,1,1,-1,-1,1,1,1,1,0,1",[1],[],"[[0, 0], [2, 2]]"

#,"副詞 (adverb)"
どう思う,どうと思う,"副詞,助詞類接続,*,*,どう,動詞,自立,五段・ワ行促音便,基本形,思う","1,1,-1,-1,1,1,1,0,0,0",[0],[],"[[1, 1]]"

#,"こと"
見ることだ,見るだ,"動詞,自立,一段,基本形,見る,名詞,非自立,*,*,こと,助動詞,*,特殊・ダ,基本形,だ","1,0,0,1,0,1,1,-1,-1,1,1,-1,1,1,1",[],[],"[[0, 0], [1, 2]]"
見ることです,見るです,"動詞,自立,一段,基本形,見る,名詞,非自立,*,*,こと,助動詞,*,特殊・デス,基本形,です","1,0,0,1,0,1,1,-1,-1,1,1,-1,1,0,1",[],[],"[[0, 0], [1, 2]]"

#,"だ・です・でしょ (incorrect short/long form)"
だと思う,ですと思う,"助動詞,*,特殊・ダ,基本形,だ,助詞,格助詞,*,*,と,動詞,自立,五段・ワ行促音便,基本形,思う","1,-1,1,1,1,1,1,-1,-1,1,1,1,0,0,0",[0],[],"[[1, 1], [2, 2]]"
だったと思う,でしたと思う,"助動詞,*,特殊・ダ,連用タ接続,だ,助動詞,*,特殊・タ,基本形,た,助詞,格助詞,*,*,と,動詞,自立,五段・ワ行促音便,基本形,思う","1,-1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,0,0,0",[0],[],"[[1, 1], [2, 2], [3, 3]]"
したんだ,したんでした,"動詞,自立,サ変・スル,連用形,する,助動詞,*,特殊・タ,基本形,た,名詞,非自立,*,*,ん,助動詞,*,特殊・ダ,基本形,だ","1,0,0,1,0,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1","[3, 4]",[],"[[0, 0], [1, 1], [2, 2]]"
したんです,したんでした,"動詞,自立,サ変・スル,連用形,する,助動詞,*,特殊・タ,基本形,た,名詞,非自立,*,*,ん,助動詞,*,特殊・デス,基本形,です","1,0,0,1,0,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1","[3, 4]",[],"[[0, 0], [1, 1], [2, 2]]"

#,"だ・です・でしょ (unnecessary use)"
雨でしょ,雨だでしょ,"名詞,一般,*,*,雨,助動詞,*,特殊・デス,未然形,です","1,0,-1,-1,0,1,-1,1,0,1",[1],[],"[[0, 0], [2, 1]]"
寒かった,寒かったでした,"形容詞,自立,形容詞・アウオ段,連用タ接続,寒い,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,1,1",[2],[],"[[0, 0], [1, 1], [3, 1]]"
やりません,やりませんです,"動詞,自立,五段・ラ行,連用形,やる,助動詞,*,特殊・マス,未然形,ます,助動詞,*,不変化型,基本形,ん","1,0,0,1,0,1,-1,1,1,1,1,-1,0,1,0",[3],[],"[[0, 0], [1, 1], [2, 2]]"
やりました,やりましたです,"動詞,自立,五段・ラ行,連用形,やる,助動詞,*,特殊・マス,連用形,ます,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,1,1,1,-1,1,0,0",[3],[],"[[0, 0], [1, 1], [2, 2]]"
ます,ますです,"助動詞,*,特殊・マス,基本形,ます","1,-1,1,1,1",[1],[],"[[0, 0]]"
食べた,食べたです,"動詞,自立,一段,連用形,食べる,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,1,1",[2],[],"[[0, 0], [1, 1]]"
でしょう,でしょうです,"助動詞,*,特殊・デス,未然形,です,助動詞,*,不変化型,基本形,う","1,-1,1,1,1,1,-1,1,1,1",[2],[],"[[0, 0], [1, 1]]"

分かった,分かったです,"動詞,自立,五段・ラ行,連用タ接続,分かる,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,1,1",[2],[],"[[0, 0], [1, 1]]"

#,"いい"
ないけど,ないだけど,"形容詞,自立,形容詞・アウオ段,基本形,ない,助詞,接続助詞,*,*,けど","1,0,0,1,0,1,1,-1,-1,1",[1],[],"[[0, 0], [2, 1]]"
